periode_data,bulan,pelabuhan,produksi
2023,01,Kepulauan Seribu,"122,78"
2023,01,PPS Nizam Zachman,"12231,21"
2023,01,PPN Muara Angke,"2859,50"
2023,01,TPI Cilincing,"227,96"
2023,01,TPI Kalibaru,"637,51"
2023,01,TPI Kamal Muara,"406,30"
2023,02,Kepulauan Seribu,"100,30"
2023,02,PPS Nizam Zachman,"8249,23"
2023,02,PPN Muara Angke,"1570,25"
2023,02,TPI Cilincing,"174,25"
2023,02,TPI Kalibaru,"587,66"
2023,02,TPI Kamal Muara,"531,42"
2023,03,Kepulauan Seribu,"121,30"
2023,03,PPS Nizam Zachman,"10551,02"
2023,03,PPN Muara Angke,"1701,07"
2023,03,TPI Cilincing,"247,99"
2023,03,TPI Kalibaru,"742,20"
2023,03,TPI Kamal Muara,"531,42"
2023,04,Kepulauan Seribu,"103,55"
2023,04,PPS Nizam Zachman,"11231,01"
2023,04,PPN Muara Angke,"1682,71"
2023,04,TPI Cilincing,"216,71"
2023,04,TPI Kalibaru,"839,03"
2023,04,TPI Kamal Muara,"280,92"
2023,05,Kepulauan Seribu,"128,75"
2023,05,PPS Nizam Zachman,"7311,66"
2023,05,PPN Muara Angke,"2362,13"
2023,05,TPI Cilincing,"227,80"
2023,05,TPI Kalibaru,"808,12"
2023,05,TPI Kamal Muara,"320,21"
2023,06,Kepulauan Seribu,"121,09"
2023,06,PPS Nizam Zachman,"9741,70"
2023,06,PPN Muara Angke,4181
2023,06,TPI Cilincing,"225,65"
2023,06,TPI Kalibaru,"595,30"
2023,06,TPI Kamal Muara,"348,51"
2023,07,Kepulauan Seribu,"145,71"
2023,07,PPS Nizam Zachman,"11606,45"
2023,07,PPN Muara Angke,"3664,46"
2023,07,TPI Cilincing,"207,15"
2023,07,TPI Kalibaru,"570,42"
2023,07,TPI Kamal Muara,"484,26"
2023,08,Kepulauan Seribu,"174,58"
2023,08,PPS Nizam Zachman,"8794,6"
2023,08,PPN Muara Angke,"3337,19"
2023,08,TPI Cilincing,"232,11"
2023,08,TPI Kalibaru,"598,85"
2023,08,TPI Kamal Muara,"212,39"
2023,09,Kepulauan Seribu,"157,48"
2023,09,PPS Nizam Zachman,"9003,89"
2023,09,PPN Muara Angke,"4179,98"
2023,09,TPI Cilincing,"387,72"
2023,09,TPI Kalibaru,"705,53"
2023,09,TPI Kamal Muara,"221,29"
2023,10,Kepulauan Seribu,"140,79"
2023,10,PPS Nizam Zachman,"10321,01"
2023,10,PPN Muara Angke,"4920,35"
2023,10,TPI Cilincing,"166,86"
2023,10,TPI Kalibaru,"1158,64"
2023,10,TPI Kamal Muara,"253,11"
2023,11,Kepulauan Seribu,"163,36"
2023,11,PPS Nizam Zachman,"9732,46"
2023,11,PPN Muara Angke,"6735,32"
2023,11,TPI Cilincing,"428,92"
2023,11,TPI Kalibaru,"457,65"
2023,11,TPI Kamal Muara,"229,32"
2023,12,Kepulauan Seribu,"119,42"
2023,12,PPS Nizam Zachman,"11742,70"
2023,12,PPN Muara Angke,"6859,57"
2023,12,TPI Cilincing,"516,72"
2023,12,TPI Kalibaru,"546,09"
2023,12,TPI Kamal Muara,"128,27"